ticker,name
AAISA.SN,Administradora Americana de Inversiones S.A.
ABC.SN,abc S.A.
AGUAS-A.SN,Aguas Andinas S.A.
ALMENDRAL.SN,Almendral S.A.
ANDINA-A.SN,Embotelladora Andina S.A.
ANDINA-B.SN,Embotelladora Andina S.A.
ANTARCHILE.SN,AntarChile S.A.
BANVIDA.SN,Banvida S.A.
BCI.SN,Banco de Crédito e Inversiones
BESALCO.SN,Besalco S.A.
BICECORP.SN,Bicecorp S.A.
BLUMAR.SN,Blumar S.A.
BSANTANDER.SN,Banco Santander-Chile
CALICHERAA.SN,Sociedad de Inversiones Pampa Calichera S.A.
CAP.SN,CAP S.A.
CAROZZI.SN,Carozzi S.A.
CCU.SN,Compañía Cervecerías Unidas S.A.
CEMENTOS.SN,Cementos Bio Bio S.A.
CENCOMALLS.SN,CENCOSUD SHOPPING SA
CENCOSUD.SN,Cencosud S.A.
CFI-FAABIE.SN,FALCOM ADM GENERAL DE FONDOS SA
CFIADI6FID.SN,Ameris Capital Administradora General de Fondos S.A. Fund
CFIALBION1.SN,FYNSA ADM GENERAL DE FUNDOS SA 
CFIAMDDA-E.SN,Ameris Capital Administradora General de Fondos S.A.- Fundo de Inversion Ameris Deuda Directa Fund
CFIAMDDC-E.SN,Ameris Capital Administradora General de Fondos S.A.- Fundo de Inversion Ameris Deuda Directa Fund
CFIAMDVADA.SN,Ameris Capital Administradora General de Fondos S.A.- DVA Deuda Privada USA FI Fund
CFIAMDVAMA.SN,Compass Group Chile S.A. Administradora General de Fondos - Fondo de Inversión Compass DVA Multiaxis
CFIAMDVASC.SN,Ameris Capital Administradora General De Fondos S.A. - Ameris Dva Silicon Fund Fondo De Inversion
CFIAMDVATA.SN,Ameris Capital Administradora General de Fondos S.A - Ameris DVA Medtech Fund
CFIARRAA-E.SN,Arrayan Acciones Chilenas FIP
CFIBALT1.SN,Bice Alternativos Fondo De Inversion
CFIBCCHIGA.SN,BTG Pactual Bonos Corporativos Chile IG Fondo de Inversión
CFIBCHDECH.SN,Banchile Administradora General - Fondo de Inversión Deuda Chilena Fund
CFIBCHDEGB.SN,Banchile Administradora General - Fondo de Inversion Deuda Global Fund
CFIBCHMPGB.SN,Banchile Administradora General - Fondo de Inversion MarketPlus Fund
CFIBCHMPUS.SN,Banchile Administradora General - Fondo de Inversion MarketPlus Fund
CFIBMPEM-E.SN,Banchile Administradora General - Fondo de Inversion MarketPlus Fund
CFIBMPEU-E.SN,Banchile Administradora General - Fondo de Inversion MarketPlus Fund
